lines,bytes,functions,max_function_lines,except_exception,ast_branch_nodes,path
30786,1672462,767,732,350,8049,page_api.py
20378,961278,583,765,325,4924,main.py
18280,905299,580,276,82,5262,daily_state.py
17637,876465,443,525,180,4789,proactive_message.py
10686,538919,284,286,36,2992,user_memory.py
10568,537746,263,666,47,2956,proactive_engine.py
8947,433294,168,1165,113,2101,llm_tool_actions.py
6202,303184,196,541,127,1782,private_image.py
6176,285517,211,604,105,1841,event_dispatch.py
5994,293018,164,310,89,1597,tts_enhancement.py
5961,351109,135,555,59,1552,command_handlers.py
5781,261743,165,188,56,1422,core_store.py
4901,236608,140,288,57,1425,news_exploration.py
4695,229664,101,203,21,1371,group_observation.py
4457,214127,162,161,32,1044,proactive.py
3602,167114,89,162,114,922,memory_companion_adapter.py
2369,120162,55,181,0,590,unified_person_registry.py
2306,118593,57,158,12,626,creative.py
2287,134475,6,2156,8,463,daily_state_tick.py
2254,111833,67,259,36,740,forward_message.py
2211,138676,17,399,5,176,plugin_bootstrap.py
2114,104723,8,1139,23,478,message_pipeline.py
2067,112340,47,404,35,635,page_api_users_groups.py
1957,87129,53,244,25,492,token_budget.py
1768,80457,43,146,5,515,worldbook.py
1686,68625,56,140,29,364,final_response_persistence.py
1640,74282,27,939,0,386,photo_wardrobe_decision.py
1631,79883,4,1555,24,378,passive_state_pipeline.py
1630,85213,44,164,17,494,daily_review.py
1600,78203,36,322,7,480,group_wakeup.py
1580,97613,27,288,4,311,planning.py
1579,72148,42,174,0,564,companion/contracts/calendar_contracts.py
1524,71931,55,245,48,385,integration_status.py
1483,68559,50,254,2,365,reaction_asset_library.py
1436,67050,50,78,24,385,atrelay.py
1415,74955,23,377,32,486,scene_context.py
1402,56488,44,169,12,373,config_migration.py
1382,66819,9,287,1,483,page_api_settings.py
1375,65083,34,323,9,301,qzone_schedule.py
1241,62485,30,167,1,135,relationship_account_store.py
1229,58909,37,169,9,385,dreaming.py
1209,58590,24,298,17,253,qzone_publish.py
1188,58033,37,192,13,280,game_integration.py
1175,46271,49,93,7,244,memory_page_snapshot.py
1145,51552,46,139,3,241,agenda_contracts.py
1099,46544,28,111,12,206,companion/integrations/image_companion_bridge.py
1087,41930,40,80,0,224,photo_reference_catalog.py
1085,42350,47,76,8,209,helpers.py
1064,40192,31,48,2,183,persona_config.py
1020,39538,32,146,0,208,photo_prompt_context.py
1019,36273,31,117,6,177,story_handoff.py
1004,41692,27,102,11,217,content_companion_bridge.py
1003,41419,55,120,3,192,story_authority.py
986,38431,57,84,5,159,standalone_webui.py
978,50787,24,112,7,246,group_member_safety.py
975,46117,30,118,6,296,agenda_runtime.py
950,37183,27,112,0,189,reaction_expression.py
917,45776,25,114,6,297,agenda_disclosure_policy.py
889,43304,34,93,1,139,migration_outbox.py
879,44031,43,70,1,170,migration_coordinator.py
867,47419,26,262,7,238,qzone_comments.py
867,37046,29,269,0,202,companion_interaction_expression.py
848,36810,37,84,18,254,qzone_runtime.py
837,38310,28,278,7,244,schedule_reconciler.py
